;50005305;50007476;50005964;50008374;
50030323;24.66;24.66;24.66;20.96;
50030326;25.71;25.71;25.71;21.85;
50030327;23.02;23.02;23.02;19.57;
50030328;24.76;24.76;24.76;21.05;
50030331;13.54;13.54;13.54;11.51;
50030332;21.45;21.45;21.45;18.23;
50030333;22.47;22.47;22.47;19.1;
50030335;40.14;40.14;40.14;34.12;
50030337;52.35;52.35;52.35;44.5;
50030341;31.57;31.57;31.57;26.83;
50030356;0.5;0.5;0.5;0.43;
50033517;6.54;6.54;6.54;5.56;
50033522;3.19;3.19;3.19;2.71;
50038717;2.98;2.98;2.98;2.98;
50038723;140.34;140.34;140.34;140.34;
50038730;2.8;2.8;2.8;2.8;
50038731;4.22;4.22;4.22;4.22;
50038758;4.55;4.55;4.55;4.55;
50038759;3.3;3.3;3.3;3.3;
50038760;4.25;4.25;4.25;4.25;
50038761;33.03;33.03;33.03;33.03;
50038762;11.18;11.18;11.18;11.18;
50038763;7.34;7.34;7.34;7.34;
50038765;1.53;1.53;1.53;1.53;
50028282;34.87;34.87;34.87;29.64;
50028299;25.68;25.68;25.68;21.83;
50028309;17.99;17.99;17.99;15.29;
50028311;28.6;28.6;28.6;24.31;
50028315;13.14;13.14;13.14;11.17;
50028316;55.52;55.52;55.52;47.19;
50028317;27.76;27.76;27.76;23.6;
50028319;15.32;15.32;15.32;13.02;
50028320;66.35;66.35;66.35;56.4;
50028321;38.29;38.29;38.29;32.55;
50028378;303.77;303.77;303.77;258.2;
50028380;39.07;39.07;39.07;33.21;
50028398;46.64;46.64;46.64;39.64;
50028401;35.54;35.54;35.54;30.21;
50028411;10.77;10.77;11.34;9.64;
50028475;17;17;17;14.45;
50028476;17;17;17;14.45;
50028477;10.26;10.26;10.26;8.72;
50028478;2.96;2.96;2.96;2.52;
50028479;8.34;8.34;8.34;7.09;
50028480;3.06;3.06;3.06;2.6;
50028485;3.36;3.36;3.36;2.86;
50028486;4.4;4.4;4.4;3.74;
50028518;1.45;1.32;1.53;1.3;
50028534;12;12;12;10.2;
50028604;36.68;36.68;36.68;31.18;
50028605;29.26;29.26;29.26;24.87;
50028608;54.2;54.2;54.2;46.07;
50028611;56.42;56.42;56.42;47.96;
50028612;44.57;44.57;44.57;37.88;
50028613;89.01;89.01;89.01;75.66;
50028614;15.62;15.62;15.62;13.28;
50028615;29.22;29.22;29.22;24.84;
50028617;19.55;19.55;19.55;16.62;
50028618;24.25;24.25;24.25;20.61;
50028619;41.28;41.28;41.28;35.09;
50028620;19.2;19.2;19.2;16.32;
50028629;0.52;0.52;0.52;0.44;
50028664;5.07;5.07;5.07;4.31;
50028665;118.2;118.2;118.2;100.47;
50028707;0.77;0.77;0.77;0.65;
50028764;8.61;8.61;8.61;7.32;
50028765;7.95;7.95;7.95;6.76;
50028766;6.05;6.05;6.05;5.14;
50016251;7.06;6.71;7.06;6;
50016252;6.46;6.46;6.46;5.49;
50021968;1.93;1.93;1.93;1.64;
50022022;11.5;11.5;11.5;9.78;
50022026;8.18;8.18;8.18;6.95;
50022029;5.66;5.66;5.66;4.81;
50022030;16.55;16.55;16.55;14.07;
50022032;19.13;19.13;19.13;16.26;
50022033;28.86;28.86;28.86;24.53;
50022035;60.99;60.99;60.99;51.84;
50022036;58.29;58.29;58.29;49.55;
50022042;211.48;211.48;211.48;179.76;
50022043;23.16;23.16;23.16;19.69;
50022044;10.21;10.21;10.21;8.68;
50022045;13.15;13.15;13.15;11.18;
50022046;24.26;24.26;24.26;20.62;
50022047;135.16;135.16;135.16;114.89;
50022050;53.32;53.32;53.32;45.32;
50022054;20.26;20.26;20.26;17.22;
50022055;8.64;8.64;8.64;7.34;
50022058;23.62;23.62;23.62;20.08;
50022059;26.18;26.18;26.18;22.25;
50022061;81.65;81.65;81.65;69.4;
50022062;118.34;118.34;118.34;100.59;
50022063;149.54;149.54;149.54;127.11;
50022065;73.96;73.96;73.96;62.87;
50022066;97.77;97.77;97.77;83.1;
50022067;36.08;36.08;36.08;30.67;
50022068;49.18;49.18;49.18;41.8;
50022069;56.99;56.99;56.99;48.44;
50022070;72.4;72.4;72.4;61.54;
50022071;88.06;88.06;88.06;74.85;
50022078;15.88;15.88;15.88;13.5;
50022080;29.45;29.45;29.45;25.03;
50022082;37.87;37.87;37.87;32.19;
50022083;61.54;61.54;61.54;52.31;
50022084;14.88;14.88;14.88;12.65;
50022085;17.98;17.98;17.98;15.28;
50022086;18.15;18.15;18.15;15.43;
50022087;23.36;23.36;23.36;19.86;
50022088;38.29;38.29;38.29;32.55;
50022092;20.42;20.42;20.42;17.36;
50022093;33.03;33.03;33.03;28.08;
50022094;14.73;14.73;14.73;12.52;
50022095;17.85;17.85;17.85;15.17;
50022096;28.21;28.21;28.21;23.98;
50022097;24.88;24.88;24.88;21.15;
50022098;34.09;34.09;34.09;28.98;
50022099;29.53;29.53;29.53;25.1;
50022100;17.47;17.47;17.47;14.85;
50022101;16.63;16.63;16.63;14.14;
50022102;16.19;16.19;16.19;13.76;
50022103;12.86;12.86;12.86;10.93;
50022104;10.14;10.14;10.14;8.62;
50022105;14.06;14.06;14.06;11.95;
50022106;11.84;11.84;11.84;10.06;
50022107;8.16;8.16;8.16;8.16;
50022108;12.1;12.1;12.1;10.29;
50022109;10.38;10.38;10.38;8.82;
50022110;6.9;6.9;6.9;5.87;
50022111;5.49;5.49;5.49;4.67;
50022112;11.23;11.23;11.23;9.55;
50022113;6.28;6.28;6.28;5.34;
50022114;5.01;5.01;5.01;4.26;
50022116;96.85;96.85;96.85;82.32;
50022119;74.95;74.95;74.95;63.71;
50022120;16.35;16.35;16.35;13.9;
50022122;28.45;28.45;28.45;28.45;
50022124;9.91;9.91;9.91;8.42;
50022125;21.58;21.58;21.58;18.34;
50022129;48.26;48.26;48.26;41.02;
50022131;41.95;41.95;41.95;35.66;
50022132;35.73;35.73;35.73;30.37;
50022135;11.32;11.32;11.32;9.62;
50022136;12.27;12.27;12.27;12.27;
50022138;20.98;20.98;20.98;17.83;
50022139;7.82;7.82;7.82;6.65;
50022140;5.17;5.17;5.17;4.39;
50022142;27.77;27.77;27.77;23.6;
50022143;49.31;49.31;49.31;41.91;
50022144;8.95;8.95;8.95;7.61;
50022148;15.35;15.35;15.35;13.05;
50022150;12.7;12.7;12.7;10.8;
50022151;12.31;12.31;12.31;10.46;
50022152;3.98;3.98;3.98;3.98;
50022153;2.93;2.93;2.93;2.93;
50022154;2.65;2.65;2.65;2.25;
50022156;16.4;16.4;16.4;13.94;
50022157;20.18;20.18;20.18;17.15;
50022158;14.06;14.06;14.06;11.95;
50022159;11.18;11.18;11.18;9.5;
50022160;12.09;12.09;12.09;10.28;
50022161;26.33;26.33;26.33;22.38;
50022162;10.08;10.08;10.08;8.57;
50022164;11.12;11.12;11.12;9.45;
50022166;13.47;13.47;13.47;11.45;
50022168;22.84;22.84;22.84;19.41;
50022170;16.77;15.29;17.64;14.99;
50025832;17.35;17.35;17.35;14.75;
50025835;14.44;14.44;14.44;12.27;
50025871;5.97;5.97;5.97;5.97;
50025597;64.92;64.92;64.92;55.18;
50025600;63.46;63.46;63.46;53.94;
50025601;63.46;63.46;63.46;53.94;
50025604;111.85;111.85;111.85;95.07;
50025615;7.79;7.79;7.79;6.62;
50025674;2.43;2.43;2.43;2.07;
50025677;4.36;4.36;4.36;3.71;
50025635;14.86;14.86;14.86;12.63;
50025636;9.69;9.69;9.69;8.24;
50025637;13.57;13.57;13.57;11.53;
50025638;7.35;7.35;7.35;6.25;
50025639;10.99;10.99;10.99;9.34;
50025640;11.63;11.63;11.63;9.89;
50025641;9.69;9.69;9.69;8.24;
50025642;8.95;8.95;8.95;7.61;
50025650;23.73;23.73;23.73;20.17;
50025651;40.41;40.41;40.41;34.35;
50025664;8.52;8.52;8.52;7.24;
